Date,AAPL,AMZN,GOOG,MSFT
2018-01-02,40.38098907470703,59.45050048828125,52.8880729675293,79.19831848144531
2018-01-03,40.37395477294922,60.209999084472656,53.75613784790039,79.56690979003906
2018-01-04,40.561492919921875,60.47949981689453,53.950801849365234,80.2671890258789
2018-01-05,41.02330017089844,61.457000732421875,54.73691940307617,81.26238250732422
2018-01-08,40.87093734741211,62.34349822998047,54.97081756591797,81.3453140258789
2018-01-09,40.86624526977539,62.6349983215332,54.93705368041992,81.29000854492188
2018-01-10,40.85685729980469,62.71649932861328,54.755794525146484,80.92143249511719
2018-01-11,41.08893966674805,63.83399963378906,54.900306701660156,81.1610336303711
2018-01-12,41.51323699951172,65.26000213623047,55.73161315917969,82.5616226196289
2018-01-16,41.30225372314453,65.24299621582031,55.706783294677734,81.4097900390625
2018-01-17,41.98442077636719,64.75,56.21430969238281,83.0592041015625
2018-01-18,42.02192306518555,64.66600036621094,56.105552673339844,83.02234649658203
2018-01-19,41.83440017700195,64.72899627685547,56.488929748535156,82.93019104003906
2018-01-22,41.49214553833008,66.3655014038086,57.39771270751953,84.4136962890625
2018-01-23,41.50151443481445,68.12699890136719,58.10090255737305,84.68096160888672
2018-01-24,40.840450286865234,67.87550354003906,57.81634521484375,84.60722351074219
2018-01-25,40.11140823364258,68.89749908447266,58.12076187133789,85.07715606689453
2018-01-26,40.20518112182617,70.10250091552734,58.39240646362305,86.67127227783203
2018-01-29,39.372989654541016,70.88400268554688,58.379493713378906,86.54225158691406
2018-01-30,39.14091491699219,71.89099884033203,57.78903579711914,85.45494842529297
2018-01-31,39.2487678527832,72.54450225830078,58.09941101074219,87.5466537475586
2018-02-01,39.3307991027832,69.5,57.98816680908203,86.85553741455078
2018-02-02,37.62422561645508,71.49749755859375,55.21713638305664,84.57037353515625
2018-02-05,36.68421173095703,69.5,52.43119812011719,81.08729553222656
2018-02-06,38.217308044433594,72.14199829101562,53.66277313232422,84.15570831298828
2018-02-07,37.399192810058594,70.83899688720703,52.07265090942383,82.57080078125
2018-02-08,36.37009048461914,67.5250015258789,49.73564529418945,78.33216857910156
2018-02-09,36.814945220947266,66.9800033569336,51.53632736206055,81.253173828125
2018-02-12,38.29780578613281,69.3115005493164,52.239505767822266,82.12852478027344
2018-02-13,38.68146514892578,70.72550201416016,52.24745559692383,82.7735366821289
2018-02-14,39.394649505615234,72.55249786376953,53.12147903442383,84.06962585449219
2018-02-15,40.71745681762695,73.08799743652344,54.105735778808594,85.78231811523438
2018-02-16,40.58565139770508,72.43450164794922,54.367950439453125,85.17127990722656
2018-02-20,40.449134826660156,73.4175033569336,54.74834442138672,85.8378677368164
2018-02-21,40.265541076660156,74.14600372314453,55.189327239990234,84.69918060302734
2018-02-22,40.60212326049805,74.26699829101562,54.95542907714844,84.92134094238281
2018-02-23,41.308250427246094,75.0,55.956573486328125,87.0783920288086
2018-02-26,42.124996185302734,76.09750366210938,56.79880905151367,88.33747100830078
2018-02-27,41.98847961425781,75.5989990234375,55.534461975097656,87.20800018310547
2018-02-28,41.9249267578125,75.62249755859375,54.86106872558594,86.80992126464844
2018-03-01,41.1905632019043,74.67250061035156,53.1125373840332,85.95820617675781
2018-03-02,41.47536087036133,75.01249694824219,53.579341888427734,86.14339447021484
2018-03-05,41.61894989013672,76.18049621582031,54.17576217651367,86.6895751953125
2018-03-06,41.583641052246094,76.88200378417969,54.380859375,86.39332580566406
2018-03-07,41.19761657714844,77.25,55.10490036010742,86.89324951171875
2018-03-08,41.647186279296875,77.59300231933594,55.91733932495117,87.42093658447266
2018-03-09,42.36271667480469,78.94450378417969,57.6077766418457,89.37433624267578
2018-03-12,42.772274017333984,79.91950225830078,57.82925796508789,89.58724975585938
2018-03-13,42.36036682128906,79.40899658203125,56.521705627441406,87.40242004394531
2018-03-14,42.000247955322266,79.55000305175781,57.083858489990234,86.88399505615234
2018-03-15,42.04967498779297,79.11599731445312,57.08832550048828,87.18948364257812
2018-03-16,41.9013786315918,78.58399963378906,56.400535583496094,87.57832336425781
2018-03-19,41.26118469238281,77.24649810791016,54.61723709106445,85.9952392578125
2018-03-20,41.247047424316406,79.32550048828125,54.51245880126953,86.21743774414062
2018-03-21,40.3126106262207,79.09300231933594,54.173274993896484,85.61567687988281
2018-03-22,39.74300003051758,77.24600219726562,52.09748458862305,83.12535095214844
2018-03-23,38.822696685791016,74.77799987792969,50.73133087158203,80.70906829833984
2018-03-26,40.66567611694336,77.79299926757812,52.302581787109375,86.8191909790039
2018-03-27,39.62296676635742,74.85250091552734,49.913429260253906,82.82909393310547
2018-03-28,39.1851692199707,71.57099914550781,49.886619567871094,82.75504302978516
2018-03-29,39.49115753173828,72.36699676513672,51.238861083984375,84.49549865722656
2018-04-02,39.23223876953125,68.59950256347656,49.98146438598633,81.94960021972656
2018-04-03,39.634742736816406,69.60250091552734,50.326107025146484,83.05126190185547
2018-04-04,40.39263916015625,70.52850341796875,50.90861511230469,85.47679138183594
2018-04-05,40.67274475097656,72.5875015258789,51.04121398925781,85.52310180664062
2018-04-06,39.63238525390625,70.2614974975586,50.00977325439453,83.5326919555664
2018-04-09,40.02545166015625,70.30400085449219,50.42741012573242,84.0325927734375
2018-04-10,40.778648376464844,71.81099700927734,51.23141098022461,85.98600006103516
2018-04-11,40.58800506591797,71.35250091552734,50.651878356933594,85.04167938232422
2018-04-12,40.98814010620117,72.42500305175781,51.27461624145508,86.63401794433594
2018-04-13,41.127010345458984,71.53949737548828,51.11371612548828,86.17115783691406
2018-04-16,41.38357162475586,72.07499694824219,51.5462532043457,87.18024444580078
2018-04-17,41.95317840576172,75.19149780273438,53.342960357666016,88.939208984375
2018-04-18,41.85901641845703,76.39199829101562,53.23966598510742,89.28173828125
2018-04-19,40.67274475097656,77.84549713134766,54.015357971191406,88.97624206542969
2018-04-20,39.006282806396484,76.37449645996094,53.28337097167969,87.94861602783203
2018-04-23,38.89329528808594,75.89299774169922,53.009742736816406,88.27265930175781
2018-04-24,38.35194778442383,73.00450134277344,50.652374267578125,86.20818328857422
2018-04-25,38.51905822753906,73.00849914550781,50.71196365356445,85.45829010009766
2018-04-26,38.65322494506836,75.89800262451172,51.648555755615234,87.2635269165039
